Season,Slot,StrongSeed,WeakSeed,StrongTeamID,WeakTeamID,StrongTeamName,WeakTeamName
2018,W11,W11a,W11b,1382.0,1417.0,St Bonaventure,UCLA
2018,W16,W16a,W16b,1254.0,1347.0,Long Island,Radford
2018,X11,X11a,X11b,1113.0,1393.0,Arizona St,Syracuse
2018,Z16,Z16a,Z16b,1300.0,1411.0,NC Central,TX Southern
2018,R1W1,W01,W16,1437.0,,Villanova,
2018,R1W2,W02,W15,1345.0,1168.0,Purdue,CS Fullerton
2018,R1W3,W03,W14,1403.0,1372.0,Texas Tech,SF Austin
2018,R1W4,W04,W13,1455.0,1267.0,Wichita St,Marshall
2018,R1W5,W05,W12,1452.0,1293.0,West Virginia,Murray St
2018,R1W6,W06,W11,1196.0,,Florida,
2018,R1W7,W07,W10,1116.0,1139.0,Arkansas,Butler
2018,R1W8,W08,W09,1439.0,1104.0,Virginia Tech,Alabama
2018,R1X1,X01,X16,1242.0,1335.0,Kansas,Penn
2018,R1X2,X02,X15,1181.0,1233.0,Duke,Iona
2018,R1X3,X03,X14,1277.0,1137.0,Michigan St,Bucknell
2018,R1X4,X04,X13,1120.0,1158.0,Auburn,Col Charleston
2018,R1X5,X05,X12,1155.0,1308.0,Clemson,New Mexico St
2018,R1X6,X06,X11,1395.0,,TCU,
2018,R1X7,X07,X10,1348.0,1328.0,Rhode Island,Oklahoma
2018,R1X8,X08,X09,1371.0,1301.0,Seton Hall,NC State
2018,R1Y1,Y01,Y16,1438.0,1420.0,Virginia,UMBC
2018,R1Y2,Y02,Y15,1153.0,1209.0,Cincinnati,Georgia St
2018,R1Y3,Y03,Y14,1397.0,1460.0,Tennessee,Wright St
2018,R1Y4,Y04,Y13,1112.0,1138.0,Arizona,Buffalo
2018,R1Y5,Y05,Y12,1246.0,1172.0,Kentucky,Davidson
2018,R1Y6,Y06,Y11,1274.0,1260.0,Miami FL,Loyola-Chicago
2018,R1Y7,Y07,Y10,1305.0,1400.0,Nevada,Texas
2018,R1Y8,Y08,Y09,1166.0,1243.0,Creighton,Kansas St
2018,R1Z1,Z01,Z16,1462.0,,Xavier,
2018,R1Z2,Z02,Z15,1314.0,1252.0,North Carolina,Lipscomb
2018,R1Z3,Z03,Z14,1276.0,1285.0,Michigan,Montana
2018,R1Z4,Z04,Z13,1211.0,1422.0,Gonzaga,UNC Greensboro
2018,R1Z5,Z05,Z12,1326.0,1355.0,Ohio St,S Dakota St
2018,R1Z6,Z06,Z11,1222.0,1361.0,Houston,San Diego St
2018,R1Z7,Z07,Z10,1401.0,1344.0,Texas A&M,Providence
2018,R1Z8,Z08,Z09,1281.0,1199.0,Missouri,Florida St
2018,R2W1,R1W1,R1W8,,,,
2018,R2W2,R1W2,R1W7,,,,
2018,R2W3,R1W3,R1W6,,,,
2018,R2W4,R1W4,R1W5,,,,
2018,R2X1,R1X1,R1X8,,,,
2018,R2X2,R1X2,R1X7,,,,
2018,R2X3,R1X3,R1X6,,,,
2018,R2X4,R1X4,R1X5,,,,
2018,R2Y1,R1Y1,R1Y8,,,,
2018,R2Y2,R1Y2,R1Y7,,,,
2018,R2Y3,R1Y3,R1Y6,,,,
2018,R2Y4,R1Y4,R1Y5,,,,
2018,R2Z1,R1Z1,R1Z8,,,,
2018,R2Z2,R1Z2,R1Z7,,,,
2018,R2Z3,R1Z3,R1Z6,,,,
2018,R2Z4,R1Z4,R1Z5,,,,
2018,R3W1,R2W1,R2W4,,,,
2018,R3W2,R2W2,R2W3,,,,
2018,R3X1,R2X1,R2X4,,,,
2018,R3X2,R2X2,R2X3,,,,
2018,R3Y1,R2Y1,R2Y4,,,,
2018,R3Y2,R2Y2,R2Y3,,,,
2018,R3Z1,R2Z1,R2Z4,,,,
2018,R3Z2,R2Z2,R2Z3,,,,
2018,R4W1,R3W1,R3W2,,,,
2018,R4X1,R3X1,R3X2,,,,
2018,R4Y1,R3Y1,R3Y2,,,,
2018,R4Z1,R3Z1,R3Z2,,,,
2018,R5WX,R4W1,R4X1,,,,
2018,R5YZ,R4Y1,R4Z1,,,,
2018,R6CH,R5WX,R5YZ,,,,
